"id_cliente","nome","id_endereco","sobrenome","data_nascimento","email","telefone","celular","cpf","genero","data_criacao","data_atualizacao","status"
41,Lavínia,2,Porto,1987-04-20,ocunha1123@example.net,(35) 13776-9226,(76) 66976-8353,"08254167958",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
42,Bryan,179,Pereira,1956-11-21,henriquedas-neves4143@example.net,(59) 72224-1788,(54) 72874-6184,"36957021416",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
43,Maria Julia,192,Santos,1944-12-02,dbarbosa6839@example.com,(59) 30238-3018,(20) 53842-5406,"16054789201",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
44,Alexandre,21,Ribeiro,1952-05-27,alveslevi9822@example.net,(60) 90229-4030,(49) 34798-8523,"63175908268",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
45,Rodrigo,75,Campos,1941-09-21,cardosoraul4117@example.com,(75) 25589-8201,(64) 16256-6720,"12340578914",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
46,Guilherme,25,da Mata,1972-07-03,novaescarlos-eduardo7433@example.com,(60) 76046-8612,(77) 18507-4132,"10837624517",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
47,Cauã,73,da Mota,1968-02-12,gnovaes8366@example.org,(60) 24753-7040,(89) 98625-4499,"98605123451",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
48,Olivia,90,Silveira,1937-01-15,ramosigor1465@example.com,(95) 73722-5032,(69) 90835-5584,"19602483598",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
49,Gustavo,16,Barros,1950-10-06,hda-costa7815@example.net,(34) 47921-6432,(42) 91821-1833,"95681420370",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
50,Isadora,99,Ramos,1958-09-30,ribeirovicente1364@example.com,(93) 30178-7195,(53) 59649-2131,"47052836190",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
51,João Miguel,164,Caldeira,2003-01-06,ada-costa4136@example.net,(79) 70119-6545,(18) 54660-8286,"97465280176",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
52,João Lucas,66,Aragão,1965-02-12,nmendes5966@example.org,(55) 86159-5309,(53) 97000-7723,"02314956842",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
53,Isadora,50,Carvalho,1994-03-29,amandaramos1691@example.net,(57) 75352-5971,(90) 66662-1708,"42569730874",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
54,Pedro Henrique,83,Cardoso,1995-08-15,saragao5878@example.com,(68) 67071-9812,(15) 89328-9578,"04598376210",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
55,Benício,190,Cavalcanti,1976-01-10,joana576644@example.com,(56) 68825-1087,(85) 80701-4393,"96130274831",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
56,Ana Beatriz,115,Duarte,1973-11-05,wribeiro8346@example.com,(10) 79770-4637,(56) 16033-2212,"03579864238",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
57,Davi Lucca,70,Santos,1933-02-21,manuela418196@example.com,(44) 22906-3390,(80) 77965-1762,"03426587190",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
58,Ana Sophia,3,Dias,1968-09-19,yago732193@example.org,(62) 14008-3860,(32) 93797-4960,"72164983564",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
59,Isis,44,da Mota,1986-03-21,carlos-eduardo442906@example.net,(75) 23787-4067,(77) 52447-3664,"59216703830",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
60,Davi Lucca,175,Cavalcanti,1952-02-14,santosvicente5168@example.net,(45) 79048-4858,(84) 26167-3451,"07385619401",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
61,Evelyn,109,Lopes,1941-10-30,isisrodrigues2602@example.net,(10) 16206-8273,(43) 15621-3505,"18309746296",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
62,Davi,185,Freitas,1992-08-10,samuelduarte4857@example.com,(54) 25617-4719,(69) 93738-3163,"28371456026",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
63,Cecília,74,Nunes,1947-09-20,kviana4997@example.net,(84) 63684-4563,(95) 43994-1637,"49627305170",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
64,Luiz Gustavo,98,Novaes,1975-06-04,rferreira8642@example.net,(99) 41724-9156,(26) 13760-2925,"94680723122",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
65,Daniela,190,Rodrigues,1975-12-11,thomas835643@example.net,(20) 21479-1074,(90) 84882-3645,"36495108206",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
66,Maria,181,Souza,1975-09-18,da-rochaana-beatriz1277@example.net,(15) 58546-8961,(93) 34900-9297,"19504387675",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
67,Melissa,96,Ramos,1933-07-31,pietrocosta4131@example.com,(96) 65795-6279,(90) 93216-3599,"53496082747",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
68,Ana Laura,14,Cardoso,1951-01-05,fsantos7641@example.net,(87) 35430-5756,(92) 73372-2623,"87214596300",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
69,Luana,161,Dias,1968-10-19,nbarbosa2906@example.com,(98) 37663-9998,(91) 63248-5585,"36289410598",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
70,Gabriela,153,Fernandes,1937-09-11,evelyndas-neves7753@example.net,(14) 55083-2788,(59) 72574-4017,"02418365735",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
71,Francisco,53,Cavalcanti,2003-05-17,diogo754379@example.com,(76) 99960-8081,(36) 37169-1337,"51907843205",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
72,Lavínia,155,da Luz,1995-10-04,matheus971555@example.com,(76) 64383-5734,(32) 60687-8767,"59386721040",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
73,Maitê,6,da Luz,1943-05-17,levi991927@example.net,(87) 32525-6467,(91) 74766-9861,"01573846244",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
74,Bianca,49,da Cunha,1981-02-12,ynascimento5246@example.org,(45) 31292-6665,(14) 76101-7862,"17496350893",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
75,Isis,162,Porto,1995-02-03,gpinto2569@example.com,(43) 78205-5295,(61) 53838-4945,"03576129499",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
76,Kevin,32,Viana,1953-03-01,ana-julia698100@example.net,(61) 56925-9179,(50) 76434-4482,"79315420616",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
77,Agatha,107,Nunes,1995-07-01,santosrodrigo4874@example.net,(21) 44753-5528,(71) 12705-5542,"36897014575",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
78,Sabrina,136,Sales,1974-07-15,guilherme771262@example.com,(59) 78423-5971,(54) 95031-8461,"64071283580",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
79,Pietro,30,Ferreira,1976-12-27,kevincorreia7718@example.org,(78) 26225-6239,(80) 34193-9797,"07415936884",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
80,Nina,56,Martins,1963-05-25,silveirafernando8613@example.org,(30) 26090-9445,(33) 75339-7779,"24051896749",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
81,Bárbara,155,Dias,1961-04-10,ana-beatriz992450@example.com,(11) 70487-1824,(19) 82559-5206,"06183457280",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
82,Maria Clara,145,Lopes,1986-04-08,hda-mota3739@example.net,(42) 26289-2076,(92) 38131-2528,"71506249876",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
83,Danilo,56,Oliveira,1938-02-13,ana-livia963043@example.org,(63) 51694-7034,(44) 84932-9515,"75098326168",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
84,Yuri,3,das Neves,1937-10-08,erickmendes5155@example.org,(17) 33292-9320,(61) 43779-8449,"49052163707",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
85,Otávio,84,Castro,1983-04-20,barbosaluiz-felipe5983@example.net,(79) 48120-6001,(42) 84181-6466,"38714520680",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
86,Vitor Hugo,106,Melo,1986-07-10,acavalcanti9731@example.org,(86) 79427-7974,(61) 55227-5411,"80453127690",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
87,Antônio,42,Nascimento,1978-06-19,gabrielly827386@example.org,(34) 66165-5606,(17) 77953-9678,"14905327814",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
88,Isadora,67,Nogueira,1956-09-01,camilada-conceicao7085@example.net,(54) 44449-6903,(68) 39582-7725,"26105784902",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
89,Brenda,30,Cunha,1968-01-08,raquel291194@example.net,(78) 29397-2328,(54) 87947-8556,"02954816333",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
90,Maysa,136,da Rosa,1962-03-28,kaique827049@example.org,(95) 65518-1536,(93) 14673-5453,"30795428600",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
91,Lucca,21,Moraes,1944-03-25,almeidagustavo5521@example.com,(47) 28635-8179,(12) 10804-6603,"36582914782",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
92,Marcos Vinicius,132,da Luz,1999-06-11,das-nevesmaria-alice1232@example.org,(64) 45652-5180,(48) 63738-8884,"10932547699",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
93,Stephany,61,Gonçalves,1975-09-11,juliana672820@example.net,(32) 60812-2128,(40) 43172-1649,"41876532017",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
94,Luna,102,Carvalho,1940-04-28,dgoncalves1264@example.net,(58) 80117-8399,(62) 89128-2079,"30142589705",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
95,Emilly,108,Lopes,1979-02-12,fernandesvicente7396@example.com,(68) 18421-2157,(14) 67852-8538,"81037962478",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
96,Marcela,151,da Mota,1973-02-02,yda-luz3568@example.org,(11) 40578-1601,(40) 59069-1235,"10829356703",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
97,Alícia,50,Teixeira,1961-01-22,correiapedro-henrique9488@example.com,(68) 12099-9252,(76) 75832-6986,"64132578909",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
98,Rafael,95,Rodrigues,1996-03-15,valentina718935@example.com,(45) 28922-8770,(60) 33402-9261,"39125608703",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
99,Rafael,193,Lima,1984-05-30,isislima5256@example.org,(45) 68598-8484,(60) 56103-1260,"50426379829",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
100,João,147,Porto,1969-04-03,mrodrigues3271@example.net,(10) 66435-9271,(96) 46470-6629,"23570194680",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
101,Vitor Gabriel,150,da Rosa,1954-08-16,ada-cruz8677@example.org,(15) 60064-5724,(19) 45504-8525,"91567384048",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
102,Isaac,121,Pereira,1985-01-03,bcorreia7969@example.org,(63) 14877-1836,(26) 63117-9038,"16038752986",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
103,Nicolas,53,da Rocha,1935-06-25,antonio411070@example.org,(37) 33227-6853,(16) 94471-1147,"21954386060",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
104,Breno,142,Gonçalves,1947-02-05,aramos9231@example.org,(22) 37505-4338,(58) 19036-5771,"54087362965",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
105,Ian,90,Ribeiro,1932-12-06,matheusbarbosa5479@example.org,(91) 14244-6919,(11) 71714-6382,"64835190289",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
106,Enzo Gabriel,7,Dias,1998-10-20,ana-vitoriacosta1252@example.org,(31) 67581-9152,(49) 32039-6798,"60352789492",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
107,Maria Alice,81,Rocha,1951-10-26,yurinogueira3364@example.org,(53) 23964-8305,(96) 77887-9947,"28046517976",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
108,João Guilherme,121,da Luz,1934-06-08,cardosolucas-gabriel5124@example.org,(69) 43391-4564,(37) 32917-6194,"32967048500",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
109,Calebe,37,da Mota,1977-08-10,ramosleticia7163@example.net,(52) 33918-5423,(90) 36996-1040,"70358162912",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
110,Enzo Gabriel,192,da Mata,1972-06-11,isabellynunes4677@example.org,(76) 78776-8860,(88) 41625-7995,"17504968366",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
111,Henrique,155,da Costa,1940-07-01,duartealana4983@example.com,(11) 52088-4065,(17) 68965-6581,"37261840580",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
112,Carlos Eduardo,15,Oliveira,1940-02-14,liviada-mata3286@example.com,(87) 75597-9806,(74) 68765-2997,"27956183464",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
113,Luana,94,Almeida,1984-08-31,mariada-costa3187@example.net,(43) 82256-2256,(75) 79818-2451,"34609752107",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
114,Kaique,144,da Mota,1981-06-01,eduardogomes9603@example.net,(74) 13794-7811,(53) 40471-8210,"68047293150",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
115,Heitor,58,Rocha,1964-05-07,ana-livia929331@example.com,(73) 31166-2743,(28) 21115-7374,"01563982730",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
116,Paulo,170,Fogaça,1995-12-31,caue658737@example.org,(33) 30347-4782,(86) 57430-5495,"40382795610",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
117,Davi Lucca,136,Vieira,1959-03-05,lorenzo792473@example.org,(20) 82509-9832,(80) 91973-6983,"50784619220",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
118,Mariana,106,Azevedo,1979-08-26,alexandre666607@example.org,(65) 99979-8267,(93) 61770-3101,"31204695725",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
119,Yago,82,Lopes,1976-08-08,nicolas047528@example.org,(89) 57581-2409,(70) 31207-7840,"63092857429",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
120,Davi Lucca,171,da Paz,1975-06-04,emilly733590@example.com,(77) 55604-1056,(97) 71322-8010,"71540392643",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
121,Guilherme,161,Sales,1976-05-17,hcardoso4918@example.org,(79) 66400-1859,(21) 58723-2526,"75863420162",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
122,Nathan,16,da Costa,2000-12-06,tduarte5894@example.com,(27) 70524-9109,(24) 34699-6238,"62857439164",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
123,Evelyn,174,Viana,1950-03-15,cardosoana-carolina8220@example.com,(46) 37766-2797,(40) 83416-5274,"42739680104",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
124,Nina,86,Moraes,1952-02-27,nunesryan5794@example.net,(81) 31563-8749,(36) 29141-5183,"65782493038",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
125,Leandro,181,Ferreira,1984-07-17,joaquimsilva4008@example.org,(49) 23874-6541,(23) 97021-6062,"08915364775",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
126,Clarice,42,Martins,1965-05-02,rafaelamelo7095@example.net,(56) 68230-1747,(13) 87349-7587,"71285493079",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
127,Renan,156,Cardoso,1963-09-06,araujopedro-miguel8307@example.org,(46) 39592-6313,(38) 96800-9571,"15439027661",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
128,Heloísa,29,Correia,1994-11-27,fogacavitor-hugo6204@example.com,(12) 59784-5252,(11) 74982-8133,"81604275901",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
129,Ana Beatriz,29,Fogaça,1983-05-05,calebe843220@example.net,(60) 56862-8074,(76) 75605-1120,"23476089169",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
130,Maria Sophia,175,Moraes,1960-01-03,qnogueira3644@example.org,(49) 98516-7585,(62) 15029-4796,"76301852435",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
131,João Gabriel,174,da Rosa,1934-04-15,jsilveira2282@example.net,(64) 82713-6871,(88) 82478-3009,"08462197511",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
132,Luna,121,Martins,1971-03-15,julia442986@example.com,(13) 53085-5070,(49) 57055-5926,"09654138298",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
133,Pietra,200,Vieira,1950-10-18,luiz-felipecaldeira3095@example.com,(54) 74370-5929,(72) 97563-9495,"75920381450",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
134,Laís,170,Campos,1951-07-01,rochapedro-miguel2426@example.org,(69) 33293-9936,(13) 44563-3258,"19703658466",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
135,Leandro,126,Cardoso,1965-09-09,vitor-hugorodrigues5255@example.org,(20) 68841-9514,(52) 92038-5673,"15973642828",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
136,Juliana,67,Barbosa,1996-10-23,scardoso2067@example.net,(46) 47090-4581,(13) 61692-4021,"50426879120",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
137,Bárbara,35,Alves,1998-01-24,plopes7001@example.org,(11) 22285-2800,(85) 13022-2455,"67428915309",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
138,Arthur,126,Moreira,1997-11-17,da-motajuan5806@example.net,(97) 88487-6414,(96) 98531-8657,"50436128780",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
139,Isabelly,129,Monteiro,1964-08-01,ana-sophiateixeira3269@example.net,(30) 98945-3709,(10) 46881-2624,"75190248305",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
140,Carlos Eduardo,57,da Cunha,2005-07-25,luiza715519@example.org,(59) 66044-2976,(67) 63230-6154,"74513826991",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
141,Vitor Gabriel,195,Costa,1963-03-25,xmonteiro8431@example.net,(35) 77963-8605,(62) 28205-9655,"05716348262",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
142,Olivia,10,Lima,1970-01-01,amandacaldeira5224@example.org,(89) 64194-7990,(17) 51379-4720,"21634580915",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
143,Beatriz,93,Pires,1963-03-19,oda-rocha8077@example.org,(45) 81602-8441,(38) 97602-8036,"52637091452",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
144,Ana Luiza,152,Ferreira,1981-05-10,joao-vitorfarias3528@example.net,(73) 79194-8986,(90) 33732-2574,"86275934182",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
145,Marcela,82,Ferreira,1984-06-19,ebarros5676@example.org,(34) 41957-5715,(45) 15084-8349,"86492170520",F,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
146,Pedro Miguel,153,Castro,1963-08-13,halmeida2064@example.com,(81) 15097-3571,(35) 63843-1870,"94086153289",M,2023-10-22 01:59:02.571,2023-10-22 01:59:02.571,true
